                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                  1.814,                 1.0002,                  1.087,                0.50538,                0.37742,                0.38559,                0.18375,                 1.8674,                 1.0476,                 1.0579,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.7809,                0.99745,                 1.0875,                0.49739,                0.38529,                 0.3898,                0.16982,                 2.0089,                    1.1,                 1.0644,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.7795,                 1.0047,                 1.0833,                0.53505,                0.41948,                0.39634,                 0.1789,                 1.8635,                 1.0437,                  1.057,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.7689,                0.99505,                 1.0767,                0.41391,                0.39529,                0.37834,                0.15863,                 2.0504,                 1.0961,                 1.0875,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.7539,                0.97379,                  1.084,                0.51599,                0.37785,                 0.4028,                0.19019,                 1.8882,                 1.0217,                 1.0637,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.8181,                0.99468,                 1.0731,                0.52847,                0.39447,                0.42425,                0.18764,                 1.9693,                 1.0431,                 1.0669,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.7827,                0.98015,                 1.0725,                0.58105,                0.36837,                0.39769,                0.18083,                 1.9968,                 1.0314,                 1.0854,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.7668,                0.98187,                  1.076,                0.57721,                0.37513,                0.41307,                0.18635,                 1.9692,                 1.0646,                 1.0664,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.7739,                 1.0004,                 1.0802,                0.56583,                 0.3863,                0.40903,                0.19372,                 1.8723,                 1.0205,                  1.066,               0.009109,               0.009109,               0.009109
                     92,                 1.7612,                 1.0112,                 1.0859,                0.42314,                0.41562,                0.40165,                0.18468,                 1.9304,                 1.0329,                 1.0743,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.7541,                0.99114,                 1.0832,                0.53743,                0.37976,                0.38973,                0.18382,                 1.8297,                 1.0267,                 1.0511,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.7176,                0.96666,                 1.0834,                0.43596,                0.43477,                0.39519,                0.17995,                 1.9573,                 1.0454,                 1.0769,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.7517,                0.97497,                  1.085,                0.57169,                0.37478,                0.40493,                0.18242,                 1.8472,                 1.0271,                 1.0501,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.7232,                0.97131,                 1.0789,                 0.6003,                0.37392,                0.40403,                0.17534,                 1.9814,                 1.0538,                 1.0591,              0.0090595,              0.0090595,              0.0090595
                     97,                 1.7551,                0.96473,                 1.0809,                0.56385,                0.40136,                0.40089,                0.18614,                 1.8436,                 1.0439,                 1.0534,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.7885,                0.99636,                  1.082,                0.46816,                0.40386,                0.39725,                0.18143,                 1.9066,                 1.1136,                 1.0574,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.7213,                0.96343,                 1.0739,                0.45258,                0.39714,                0.39059,                0.17408,                 1.8729,                 1.0724,                  1.054,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.7324,                0.96825,                 1.0768,                0.45703,                0.41708,                0.39831,                0.17786,                 1.8547,                 1.0183,                 1.0512,              0.0090199,              0.0090199,              0.0090199
