                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.8576,                0.95814,                 1.1951,                0.40016,                0.33768,                 0.3376,                0.15104,                 1.9937,                 1.2297,                 1.3566,               0.003367,               0.003367,               0.003367
                     69,                 1.8736,                0.95441,                 1.1727,                0.41097,                0.33408,                 0.3404,                0.15668,                 1.9423,                 1.1696,                 1.3486,               0.003268,               0.003268,               0.003268
                     70,                 1.8343,                0.93906,                 1.1752,                0.74839,                 0.3304,                0.34128,                0.15296,                  1.995,                 1.1675,                  1.337,               0.003169,               0.003169,               0.003169
                     71,                  1.842,                0.93824,                 1.1755,                0.38341,                0.34879,                0.34435,                0.15595,                  1.945,                 1.1834,                 1.3257,                0.00307,                0.00307,                0.00307
                     72,                 1.8678,                0.95824,                  1.178,                0.38898,                0.35182,                0.34631,                0.15506,                 1.9472,                 1.1935,                 1.3324,               0.002971,               0.002971,               0.002971
                     73,                  1.844,                0.94724,                  1.179,                0.40872,                0.33943,                0.34331,                0.15437,                 1.9081,                 1.1467,                 1.3111,               0.002872,               0.002872,               0.002872
                     74,                 1.8498,                0.94184,                 1.1795,                0.38392,                0.33765,                0.34338,                0.15506,                 1.8949,                 1.1895,                 1.3019,               0.002773,               0.002773,               0.002773
                     75,                 1.8498,                0.94739,                 1.1807,                0.38771,                0.34535,                0.34744,                0.15819,                 1.9064,                  1.199,                 1.2836,               0.002674,               0.002674,               0.002674
                     76,                 1.8765,                0.95352,                 1.1664,                0.39245,                0.34788,                0.34293,                0.15326,                 1.8945,                 1.2036,                 1.2863,               0.002575,               0.002575,               0.002575
                     77,                 1.8084,                0.92676,                 1.1956,                0.41368,                0.34254,                0.34817,                  0.156,                 1.9326,                 1.1974,                 1.3077,               0.002476,               0.002476,               0.002476
                     78,                 1.7982,                 0.9458,                 1.1949,                0.41572,                 0.3274,                0.34751,                0.15671,                 1.9056,                 1.1361,                 1.3007,               0.002377,               0.002377,               0.002377
                     79,                 1.8511,                 0.9573,                  1.193,                0.74373,                0.33224,                0.34529,                0.15619,                 1.9054,                 1.1694,                 1.2951,               0.002278,               0.002278,               0.002278
                     80,                 1.8045,                0.93679,                 1.1809,                0.73855,                 0.3307,                0.34143,                0.15605,                 1.9218,                 1.1977,                 1.3081,               0.002179,               0.002179,               0.002179
                     81,                 1.8159,                0.95035,                 1.2015,                  0.741,                0.32542,                0.33353,                0.15428,                 1.9071,                 1.2011,                 1.3017,                0.00208,                0.00208,                0.00208
                     82,                 1.8499,                0.96783,                 1.2064,                0.73194,                0.35096,                 0.3462,                0.15858,                  1.979,                 1.2642,                 1.3421,               0.001981,               0.001981,               0.001981
                     83,                 1.8318,                0.94064,                 1.1751,                0.73578,                0.34768,                0.34965,                0.15862,                 1.9474,                 1.2338,                 1.3363,               0.001882,               0.001882,               0.001882
                     84,                 1.8459,                0.94138,                 1.1704,                0.74376,                0.34693,                0.35342,                   0.16,                  1.937,                 1.1728,                 1.3304,               0.001783,               0.001783,               0.001783
                     85,                 1.7963,                0.93392,                 1.1967,                0.74911,                0.33504,                0.35429,                 0.1582,                  1.903,                 1.1587,                 1.3156,               0.001684,               0.001684,               0.001684
                     86,                 1.8612,                0.94113,                 1.1581,                0.72844,                0.35765,                0.36168,                0.16005,                 1.8952,                 1.2157,                 1.3036,               0.001585,               0.001585,               0.001585
                     87,                 1.8465,                 0.9417,                  1.162,                0.74281,                0.35097,                0.36221,                 0.1613,                   1.89,                 1.1644,                 1.3105,               0.001486,               0.001486,               0.001486
                     88,                 1.8214,                0.94579,                  1.188,                0.75314,                0.34243,                0.34576,                0.15544,                 1.9249,                 1.1924,                 1.3354,               0.001387,               0.001387,               0.001387
                     89,                 1.8377,                0.93883,                 1.1803,                0.74126,                0.35368,                0.35179,                0.15859,                 1.9116,                 1.2144,                 1.3106,               0.001288,               0.001288,               0.001288
                     90,                 1.8147,                0.98724,                 1.1923,                0.75921,                0.33566,                0.34648,                0.16044,                 1.8926,                  1.274,                 1.2988,               0.001189,               0.001189,               0.001189
                     91,                 1.7796,                0.94119,                 1.1978,                0.75055,                0.33496,                0.36921,                0.16302,                 1.8452,                 1.2736,                 1.2797,                0.00109,                0.00109,                0.00109
                     92,                 1.7662,                0.94025,                 1.1904,                0.74347,                 0.3327,                0.35939,                0.16374,                 1.8912,                 1.2151,                 1.2982,               0.000991,               0.000991,               0.000991
                     93,                  1.752,                0.93106,                 1.1779,                0.74854,                0.33119,                0.34435,                0.15995,                 1.8912,                 1.2044,                 1.3015,               0.000892,               0.000892,               0.000892
                     94,                 1.7645,                0.93144,                 1.1937,                0.74992,                0.33931,                0.34436,                0.15799,                 1.8813,                 1.2158,                  1.295,               0.000793,               0.000793,               0.000793
                     95,                  1.727,                 0.9153,                 1.1703,                0.74866,                0.34592,                0.36193,                0.16243,                 1.8793,                 1.2021,                 1.2856,               0.000694,               0.000694,               0.000694
                     96,                 1.7269,                 0.9126,                 1.1851,                0.75057,                0.34817,                0.36129,                0.16045,                 1.8278,                 1.1727,                 1.2724,               0.000595,               0.000595,               0.000595
                     97,                 1.7356,                0.91622,                 1.1836,                0.74351,                0.34607,                0.35584,                0.16134,                  1.818,                 1.1699,                 1.2749,               0.000496,               0.000496,               0.000496
                     98,                 1.7573,                0.94871,                 1.1876,                0.74794,                0.34799,                0.35703,                0.16025,                 1.8071,                 1.1668,                 1.2715,               0.000397,               0.000397,               0.000397
                     99,                 1.7052,                0.91018,                 1.1954,                0.75249,                0.34039,                0.35178,                0.15891,                 1.8054,                 1.1656,                 1.2724,               0.000298,               0.000298,               0.000298
