                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 2.3473,                  1.313,                  1.401,                0.59099,                0.25994,                0.22335,                0.08897,                 2.3378,                 1.8778,                 1.4795,               0.004555,               0.004555,               0.004555
                     57,                   2.38,                 1.2835,                 1.3837,                0.60289,                 0.2601,                 0.2293,                0.09055,                 2.2078,                 1.7592,                  1.453,               0.004456,               0.004456,               0.004456
                     58,                 2.3623,                  1.335,                 1.4224,                0.57985,                0.22735,                0.20942,                0.08466,                 2.2957,                 1.7993,                 1.4961,               0.004357,               0.004357,               0.004357
                     59,                 2.2877,                 1.2843,                 1.3994,                0.60317,                0.23536,                0.20687,                0.08252,                 2.2883,                 2.1293,                 1.4962,               0.004258,               0.004258,               0.004258
                     60,                 2.2771,                 1.2666,                 1.3902,                0.57108,                0.24307,                0.21268,                0.08592,                 2.3278,                 1.9299,                 1.4863,               0.004159,               0.004159,               0.004159
                     61,                 2.3612,                 1.2639,                 1.3617,                0.60242,                0.25943,                  0.224,                 0.0888,                 2.4527,                 1.8074,                 1.5225,                0.00406,                0.00406,                0.00406
                     62,                 2.2931,                 1.2699,                   1.37,                0.67377,                0.23636,                0.22985,                0.09066,                 2.3058,                 1.8759,                 1.4618,               0.003961,               0.003961,               0.003961
                     63,                 2.3102,                 1.2682,                 1.4028,                0.62837,                0.25726,                0.23612,                0.09465,                 2.2589,                 1.8251,                 1.4978,               0.003862,               0.003862,               0.003862
                     64,                  2.326,                 1.2636,                 1.3579,                0.64269,                0.24325,                 0.2377,                0.09713,                 2.2335,                 1.8267,                 1.4823,               0.003763,               0.003763,               0.003763
                     65,                 2.3025,                 1.2555,                 1.3657,                 0.2813,                0.25644,                0.24003,                0.09232,                 2.3472,                 1.9659,                 1.4519,               0.003664,               0.003664,               0.003664
                     66,                 2.3026,                 1.2609,                 1.3986,                0.30956,                0.22317,                0.22651,                0.09515,                 2.1955,                 1.7528,                 1.4453,               0.003565,               0.003565,               0.003565
                     67,                 2.3243,                 1.2553,                 1.3638,                 0.6415,                0.24371,                0.23395,                0.09442,                 2.2988,                 1.8016,                 1.4864,               0.003466,               0.003466,               0.003466
